video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=FvApou1Ln8Q&pp=ygUNc2tpaW5nIGhpa2luZw%3D%3D,/@patagonia,Patagonia,Mind Over Mountain | On the Bugs to Rogers Traverse | Patagonia Films,1.3M,4 years,"Tapping into an intimate journey of three wonderful friends, Mind Over Mountain follows Canadian snow sliders Leah Evans, ...",2026-01-21 21:10:29.043085
/watch?v=Wxv9p3oHD48&pp=ygUNc2tpaW5nIGhpa2luZw%3D%3D,/@timontravels,TimonTravels,"Amazing Lapland, SWEDEN 🇸🇪 Nordic Skiing & Hiking",303,2 years,It's our first time in Lapland and we are so excited to explore this special region of Sweden. In this video we are doing some hiking ...,2026-01-21 21:10:29.044959
/watch?v=e2GRQHM96aw&pp=ygUNc2tpaW5nIGhpa2luZw%3D%3D,/@PeakRankings,PeakRankings,East’s Most Notorious Ski Descent: Tuckerman Ravine,194K,9 months,"A backcountry skiing journey up and down New Hampshire's Tuckerman Ravine, including the hike, descent, and unique factors ...",2026-01-21 21:10:29.051476
/watch?v=ph5ZHh16mQg&pp=ygUNc2tpaW5nIGhpa2luZw%3D%3D,/@eric_hanson,Eric Hanson,Alone: Winter Camping Above 10K Feet in Colorado -5F (-20C) Temps,221K,1 year,Gear I use in this video: Sleeping Bag: https://bit.ly/49bNeVZ Sleeping Mattress: https://bit.ly/47MFysj Backpack: ...,2026-01-21 21:10:29.056139
/watch?v=91fI7jA27TI&pp=ygUNc2tpaW5nIGhpa2luZw%3D%3D,/@jakekaiser1399,Jake Kaiser,Skiing Quandary Peak // Winter Colorado 14er,3.2K,1 year,In today's adventure I am skiing Quandary Peak's north east bowls off the standard east ridge route. Quandary is a very accessible ...,2026-01-21 21:10:29.057838
/shorts/0vaq_lCnhmQ,/@mammut,MAMMUT,It doesn't get much steeper than this 😱,12M,1 year,Credit: Matthias Weger.,2026-01-21 21:10:29.061445
/watch?v=mqhdVVNl5aY&pp=ygUNc2tpaW5nIGhpa2luZw%3D%3D,/@sannavaara,Sanna Vaara,Through the Arctic Wilderness of Lapland | Skiing Hike in Pallas-Yllästunturi National Park,10K,2 years,"This video is from our four-day skiing hike in the national park of Pallas-Yllästunturi, here in Lapland, Finland. I think these views ...",2026-01-21 21:10:29.066948
/watch?v=Hzj74uoIS34&pp=ygUNc2tpaW5nIGhpa2luZw%3D%3D,/@PeakRankings,PeakRankings,"World’s Longest Ski Run: Vallée Blanche in Chamonix, France",2.6M,1 year,"A tour of the Vallée Blanche, a backcountry ski run that has become notorious for being the longest lift-served ski run in the world.",2026-01-21 21:10:29.072995
/watch?v=1rtJO4Bfc-w&pp=ygUNc2tpaW5nIGhpa2luZw%3D%3D,/@hellyhansen1877,Helly Hansen,Backcountry Skiing in the San Juan Mountains: The 500k Hut Traverse,22K,3 years,"A week to remember🏔️ Big Mountain skiers Jim Ryan, Marcus Caston, and MP Prefontaine spent a week ski touring across the ...",2026-01-21 21:10:29.074292
/watch?v=WmCeQDl9ZKc&pp=ygUNc2tpaW5nIGhpa2luZw%3D%3D,/@jakekaiser1399,Jake Kaiser,Backcountry Ski Gear: Comprehensive Guide,37K,1 year,Here is a look at all my backcountry ski touring gear. This video covers what I used for a causal tour as well as bigger lines when ...,2026-01-21 21:10:29.083534
/shorts/Dd8QUwHIXGc,/@Becomenorwegian,Become Norwegian,Life with outdoor hobbies #outdoorgear #hiking #skiing #roadbike,242K,3 months,"Life with outdoor hobbies be like… ⛺  ‍♂️   It starts simple — one pair of hiking boots, maybe a tent. Then suddenly, your ...",2026-01-21 21:10:29.087322
/watch?v=cz18nMmAD-o&pp=ygUNc2tpaW5nIGhpa2luZw%3D%3D,/@ragomtb,Rago Mtb,Hiking and Skiing the Mount Washington Cog Railway,877,11 months,"In this video, I hike up and ski down the Mount Washington Cog Railway in New Hampshire. Instead of hiking regularly, I put skins ...",2026-01-21 21:10:29.092975
/watch?v=mL__LQ977uk&pp=ygUNc2tpaW5nIGhpa2luZw%3D%3D,/@JonathanZaharek,Jonathan Zaharek,Backcountry Ski Gear Basics | Adirondack High Peaks,3.8K,1 year,Let's dive into the intro to backcountry skis and the varieties that come with getting into the sport.,2026-01-21 21:10:29.094998
/watch?v=ZCCPV5RxuSY&pp=ygUNc2tpaW5nIGhpa2luZw%3D%3D,/@hikelonglake,Hike Long Lake,Altai Hok and Black Diamond Glidelite Skis - Adirondack Backcountry Skiing,10K,2 years,"Backcountry skiing in the Adirondacks is challenging. Rough trails, blowdown, stream crossings, and as our winters warm, ...",2026-01-21 21:10:29.096248
/watch?v=O_Ehqv6ZNu0&pp=ygUNc2tpaW5nIGhpa2luZ9IHCQmHCgGHKiGM7w%3D%3D,/@NextAdventurePDX,Next Adventure PDX,How To Layer For Mountaineering Trips,116K,7 years,A good layering system is an essential part of your mountaineering gear. Gino from Next Adventure covers all the bases ...,2026-01-21 21:10:29.098841
/shorts/UBr_BSjH-Bw,/@reneeandtim,thruhikers,Overnight ski camping in the Sierras!,1.4M,2 years,"Winter camping involves some extra challenges, but they're totally worth it for the adventure! On this trip we left our house with ...",2026-01-21 21:10:29.101638
/shorts/lvJs14VwwJA,/@jerryofthedayofficial,Jerry of the Day,The Tuckerman Ravine Send Portal,2.6M,2 years,The Tuckerman Ravine Send Portal survives the summer months by consuming enough Jerry in the spring #TheCircleOfJerry He ...,2026-01-21 21:10:35.773336
/shorts/mE-wZ8_HMHk,/@RedBullSnow,Red Bull Snow,Turns out Logan Pehota is just like you and me when it comes to hiking 😅,3.5M,2 years,Watch The Land Of Giants: https://www.redbull.com/int-en/films/the-land-of-giants.,2026-01-21 21:10:35.775156
/shorts/aFcZI37KvRo,/@PeakRankings,PeakRankings,Big Sky's Triple-Black Headwaters Hike,15K,8 months,Hiking the Headwaters Bowl: where beauty meets “don't slip.” ⛰️ We set off for the longest chute in the zone—Three Forks.,2026-01-21 21:10:35.777686
/watch?v=7FCR-Io7-q8&pp=ygUNc2tpaW5nIGhpa2luZw%3D%3D,/@Avoriazskischool,Avoriaz Alpine Ski School,DENTS DU MIDI - Hiking & Skiing the Highest Summit (4K),2.4K,2 years,A short section of the film 'La Saison Blanche' where we hiked from Morzine to the summit of Les Dents du Midi; The magical ...,2026-01-21 21:10:35.781302
/shorts/vrk0ktLHXCI,/@BlaizeKelly,Blaize Kelly,My first summit 🏔️ #skiing #japan #mountains #snow #powderskiing #snowboarding #winter #fail,3.7K,1 year,"Although I didn't have another choice, when I reached the summit of Mount Iwaonupuri, I couldn't believe what I had just done.",2026-01-21 21:10:35.786059
/watch?v=pa6s9UPU6YI&pp=ygUNc2tpaW5nIGhpa2luZw%3D%3D,/@JustinOutdoors,Justin Outdoors,"WINTER HIKING GEAR LIST // Day Pack for Snowshoeing, Skiing, and Hiking",19K,2 years,My Go-To Electrolyte Mix ➡️ https://geni.us/DRINKLMNT GEAR FROM THE VIDEO Osprey Kamber Pack: ...,2026-01-21 21:10:35.787542
/shorts/GsBsgK02ZkI,/@O_leeps,O_leeps | Big Mountain Ski Videos,"took us an hour to hike up, but definitely worth it! #skiing",19K,1 year,"took us an hour to hike up, but definitely worth it! #skiing.",2026-01-21 21:10:35.788874
/shorts/lZVHY0AnP3A,/@voyageandventure,Voyage & Venture,"Come Backcountry Skiing with me in Pemberton, British Columbia",385,3 years,Join me for a day of skiing in the backcountry of beautiful BC #backcountryskiing #pemberton.,2026-01-21 21:10:35.791186
/shorts/p3i8byAMh8I,/@paradiseskis,Paradise Skis,The ultimate summer day? #skiing #bike #hiking,322,2 years,"Paradise Ambassador Kevin Doherty-Regalia absolutely crushing summer down in Washington. Biking, hiking, and skiing all in ...",2026-01-21 21:10:35.792400
/shorts/YqNFdRFqLZM,/@betterhiking,Better Hiking,What To Wear For Cold Weather Hiking,79K,2 years,"Trouble with figuring out what to wear when hiking this winter? Then check out my layering system! I won't say it's perfect, but it's ...",2026-01-21 21:10:35.794671
/shorts/KKHUXPdLjYg,/@MountWashingtonAvalancheCenter,Mount Washington Avalanche Center,Skier-triggered avalanche in Tuckerman Ravine: 2/25/23,462K,2 years,A full incident report is available here: ...,2026-01-21 21:10:35.796974
/shorts/uQcZM91qwyY,/@RyanMitchellYT,Ryan Mitchell,Jumping Over A Massive Crevasse,19M,1 year,Jumping over a huge crevasse in the Khumbu Icefall on Mount Everest.,2026-01-21 21:10:42.606476
/shorts/A9AqCThB-TY,/@MadisonClysdalee,Madison Clysdale,Winter hiking boots: What to wear winter hiking. Wear these 3 things,267K,3 years,Winter hiking boots you'll want three things insulated waterproof boots I wear the bath and Hike Boot and love them Gators these ...,2026-01-21 21:10:42.610367
/shorts/QDx4w203kpI,/@giovannisaccarola,Giovanni Saccarola,Is it already time to switch? #skiing #hiking #swissalps #switzerland #mountains #summer #winter,466,1 year,Is the ski season already over? Is it time to start the hiking season?,2026-01-21 21:10:42.616929
/shorts/_sfxg9JRy-w,/@DaveSearle,Dave Searle,How to break trail more efficiently while ski touring,46K,4 years,How to break trail more efficiently in deep snow!,2026-01-21 21:10:42.618471
/shorts/YoJVI7c3ojs,/@alecfinkski,Alec Finke,Skiing off of Red Top Mountain in the snowbird sidecountry #skiing #hiking 🎥: #insta360x4 #pov #ski,5.6K,8 months,"Hiked up the ridge from the Gad 2 touring gate and was able to ski off the summit of Red Top Mountain, which I have never done ...",2026-01-21 21:10:42.620781
/shorts/E3UpCCHgskA,/@pavlinasudrich,Pavlina Sudrich,Magical Quest,10K,1 year,A magical winter adventure in search of the dumpling man. #winter #quest #magic #dumplings #dumplingman #skiing ...,2026-01-21 21:10:42.628702
/watch?v=GuFP6mQxcuM&pp=ygUNc2tpaW5nIGhpa2luZw%3D%3D,/@PackUpExplore,Pack Up Explore,Skiing in New Zealand | The perfect destination - Queenstown | Hiking,11K,1 year,"The 3rd part of our amazing journey to New Zealand back in August 2022 - Queenstown, New Zealand | Ski resorts ...",2026-01-21 21:10:42.630841
/shorts/lTFpHIQ8iHU,/@SanMateoDrZloba,SanMateo DR. ZLOBA  🐾🌞,PLANINSKI DOM V TAMARJU #bordercolliebluemerle #mountains #snow #hiking #skiing #tamar,641,11 months,PLANINSKI DOM V TAMARJU #bordercolliebluemerle #mountains #snow #hiking #skiing #tamar #planica #domtamar DOM V ...,2026-01-21 21:10:42.632582
/shorts/sBP0aD1_2Ck,/@channelnewsasia,CNA,Hiker in Sichuan plunges to death after undoing safety rope to take selfie,1.2M,3 months,"This is the moment when a 31-year-old hiker plunged to his death at Nama Peak in Sichuan, China on Sep 25 after reportedly ...",2026-01-21 21:10:51.715491
/shorts/VGmXqs_aG60,/@aslanmediaagency,Aslan Media,David Deliv skiing a steep couloir in Georgia #skiing #hiking #mountains,1K,8 months,"Watch our ski movie ""Lamprob"" now on youtube.",2026-01-21 21:10:51.716977
/shorts/cxgHbhW3iTw,/@Everestexpedi,Everestexpedi,How Much Does Gear for Everest & 8000m Peaks Cost? 🎥 Marta Misztal #everest #mountains,826K,1 year,Ever thought about the price tag attached to the gear commonly utilized on Everest and other 8000m peaks? Here's a detailed ...,2026-01-21 21:10:51.720444
/shorts/ILN83dzES8c,/@WarrenMiller,Warren Miller Entertainment,Spring Skiing at Tuckerman Ravine | Warren Miller’s “SNO-CIETY”,21K,3 months,"If you ever want to find a passionate group of skiers, head over to Tuckerman Ravine after all the East Coast resorts close for the ...",2026-01-21 21:10:51.727112
/shorts/9vTPhxMRJgU,/@JCMmotion,[jcm],Jupiter Cliffs! #skiing #ski #gopro #360camera #3rdperson #winter #fyp #cliff #hiking #parkcity,1.2K,1 year,shorts #shortsvideo.,2026-01-21 21:10:51.731836
/watch?v=8HiyhdV02-I&pp=ygUNc2tpaW5nIGhpa2luZw%3D%3D,/@LisaBurridgeRealEstate,Lisa Burridge & Associates Real Estate,"DISCOVER SPRING IN WYOMING! | SKIING, HIKING, & HOT SPRINGS!",95,2 years,"Hi there, Abby Reeder, with Lisa Burridge and Associates Real Estate Team here in Casper, Wyoming, and we want to share with ...",2026-01-21 21:10:51.736214
/shorts/srJkzzetuIE,/@claireandjake,Claire and Jake,Split boarding with a dog! literally Maya's favourite thing,3.7K,2 years,We have been exploring the snowshoe trails and backcountry around @Redresort over the past week testing out Claire's new ...,2026-01-21 21:10:51.738621
